text	public_metrics	created_at	Google_Translation	@	places	village	district	region
"“We are afraid that in #Ramadan we might have nothing to break our fast with...”

Habibah, Somali refugee mother living in Yemen.

This Ramadan, please remember the most vulnerable refugee and displaced families. #EveryGiftCounts. https://t.co/hkExNCLyL1 https://t.co/wrY39q4e6s"	{'retweet_count': 37, 'reply_count': 6, 'like_count': 107, 'quote_count': 2}	2022-04-03T19:14:00.000Z		[]	['Yemen']	[]	[]	[]
@ReaIDada - a Somali refugee	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	2022-04-03T18:49:30.000Z		['@ReaIDada']	[]	[]	[]	[]
@Bole42914286 It's truly sad that you're not empathetic to this, when the conflict b/n Oromia and Somali region happened and over 1Mil Oromos were displaced, it was b/n regional forces. You know in the end this expansion,ethnic segregation will hurt everyone in the end, 3/	{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}	2022-04-03T17:01:05.000Z		['@Bole42914286']	['Oromia']	[]	[]	[]
@GualGidey @RAbdiAnalyst Out of all, a starving tigree refugee whose life was spared by Aby Ahmed &amp; owes all his/her being to Aby alone have the audacity to speak about affairs concerning Somali people.	{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}	2022-04-03T16:10:43.000Z		['@GualGidey', '@RAbdiAnalyst']	[]	[]	[]	[]
@dirt_iowa @stan_honeycutt Check out @ShuForCongress  she’s a Somali refugee and combat vet running against the brother lover	{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}	2022-04-03T13:46:09.000Z		['@dirt_iowa', '@stan_honeycutt', '@ShuForCongress']	[]	[]	[]	[]
"'We were in a trap’: refugee recalls horrific conditions in camp where she lost her baby

@sallyhayd, author of new book on the migrant crisis, tells the story of Hibaq, a Somali in Dublin, &amp;  mistreatment in Libya with collusion of European authorities
https://t.co/XED67dMbxC"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}	2022-04-03T12:54:52.000Z		['@sallyhayd,']	['Hibaq', 'Dublin', 'Libya']	[]	[]	[]
@stan_honeycutt This was in 2020. She didn`t win. Now, there is a Republican Muslim woman running against her. She is an Army veteran. https://t.co/3afBBCQ0jV	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-03T01:32:05.000Z		['@stan_honeycutt']	[]	[]	[]	[]
@SomalianFacts @US2SOMALIA @TheVillaSomalia @M_Farmaajo Let’s talk about the destabilization of 🇸🇴 by US, UK, and EU. The interventional wars and political destabilization has caused the Somali people from developing their country, displaced over 3 million civilians from their regions. The people want peace in 🇸🇴. #BreakTheSilence https://t.co/VuaulPpOzb	{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}	2022-04-02T19:31:11.000Z		['@SomalianFacts', '@US2SOMALIA', '@TheVillaSomalia', '@M_Farmaajo']	['US', 'UK']	[]	[]	[]
@DFallamhain @Flaganatas @liamooo There was a case where one Somali refugee brought another 60 family members to Ireland under family reunification. That decision cost the exchequer €48m as per the Finnish study.	{'retweet_count': 1, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}	2022-04-02T17:12:57.000Z		['@DFallamhain', '@Flaganatas', '@liamooo']	['Ireland']	[]	[]	[]
A Somali refugee, a father of 8 and an Uber driver was killed this week in a shooting. Do liberals and leftists really think they can get away with gaslighting America about rising crime? Because it is real in Portland and 100% a product of liberal and leftist incompetence https://t.co/LtRFC0Ycy7	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-02T07:51:06.000Z		[]	[]	[]	[]	[]
"@levenorion @IlhanMN Because she’s not a natural born American. 

She’s a Somali refugee who became a citizen by default."	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-01T21:00:12.000Z		['@levenorion', '@IlhanMN']	[]	[]	[]	[]
Ramla Ali. Somali excellence. From fleeing the war in Somalia as a refugee to becoming a professional boxer and author. A true ambassador for the next generation of not only females but many coming from similar backgrounds. @ramlaali https://t.co/C3lTAn7KU4	{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 1}	2022-04-01T18:47:46.000Z		['@ramlaali']	[]	[]	[]	[]
"Meet Fatima Dirie, a former Somali refugee, who is using her experience to help advocate and build a more welcoming community for refugees and Muslims celebrating #Ramadan in Salt Lake City, Utah.
 
https://t.co/6Uu38gIkx0"	{'retweet_count': 1, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}	2022-04-01T18:30:06.000Z		[]	['Ramadan', 'Salt', 'Lake', 'City', 'Utah']	[]	[]	[]
"I stand with all refugees because Read how the refugee crisis of Somali war still bites decades later.
https://t.co/XUB5Mxgny7 #RefugeesWelcome"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-01T18:15:30.000Z		[]	[]	[]	[]	[]
In #Germany, a Somali beheaded a homeless, migrants raped a Ukrainian refugee,for Jews not recommended to wear kippha bc it is unsafe on the streets and in schools there are religious bully. But the local liberals: the Hungarian elections. @twittschler @PapkeGerhard @KoskovicsZ https://t.co/wc1NF0ap31 https://t.co/D4vc4jd5F9	{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}	2022-04-01T15:21:02.000Z		['@twittschler', '@PapkeGerhard', '@KoskovicsZ']	['Germany']	[]	[]	[]
@erigganewmoney Somali refugee camp	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	2022-04-01T14:27:40.000Z		['@erigganewmoney']	[]	[]	[]	[]
This👎 right here  is one of the reasons I don't subscribe to the ideas of secessionists and all those agitators calling for war in Nigeria. If Nigeria ever have a refugee situation like Ukraine we would be treated worse than Iraqi, Afghan ,Somali etc refugees. They fail to https://t.co/3WK3oioWqy	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	2022-04-01T11:42:48.000Z		[]	['Nigeria']	[]	[]	[]
@Adam22709369 @MohamudAbdi1295 @Iranshahr8 @Pataramesh Well I looked his profile and I found that he's Somali origin living in Great Britain.Most likely came as a refugee from Somalian civil War. So that makes him Muslim, Sunni, refugee seeking refuge from non Muslim nation. So I hope he gives refuge/love to his Shia Muslim brothers	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	2022-04-01T03:24:50.000Z		['@Adam22709369', '@MohamudAbdi1295', '@Iranshahr8', '@Pataramesh']	[]	[]	[]	[]
@dnappy2000 @terrelljstarr That's exactly the point though. Force people to think about why they found it easy to accept a Ukrainian refugee while their previous responses to Syrian refugees, Somali refugees, etc. was not the same. It won't change everyone, but maybe it'll turn a light on for a few.	{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}	2022-03-31T21:25:50.000Z		['@dnappy2000', '@terrelljstarr']	[]	[]	[]	[]
During the visit, Canada launched a $6M education @SaveChildrenCan project for refugee, internally displaced, &amp; host community children, particularly girls &amp; children with disabilities, who had their learning disrupted by crises. It will operate in Somali and Oromia Regions. 2/2 https://t.co/9tRgXXSz98	{'retweet_count': 2, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}	2022-03-31T10:25:20.000Z		['@SaveChildrenCan']	['Canada']	[]	[]	[]
@Twiterless_J @kevincaskey48 @ms_puncher No. Catholic Charities (google it) has been doing it for years on end. Lutheran Immigration and Refugee Service is another. I think they were primarily responsible for transferring a large Somali population into Lewiston, Maine.	{'retweet_count': 2, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}	2022-03-31T04:46:49.000Z		['@Twiterless_J', '@kevincaskey48', '@ms_puncher']	[]	[]	[]	[]
So proud of my vaccination card!!😀in #Somali region @UNICEFEthiopia supports mobile #Health &amp; #Nutrition clinics which help pple displaced by the severe #drought. Txs to @UKinEthiopia @EUinEthiopia @USAIDEthiopia. #vaccines #VaccinesWork https://t.co/DgXPCceaJn	{'retweet_count': 2, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}	2022-03-31T04:31:21.000Z		['@UNICEFEthiopia', '@UKinEthiopia', '@EUinEthiopia', '@USAIDEthiopia.']	[]	[]	[]	[]
"""No one thought about someone who ran away from Somalia with his family because of the certain violence to be dying on the streets of Portland,"" How many more? 🙏🏽 https://t.co/EQNLyvI8as"	{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	2022-03-31T03:39:41.000Z		[]	['Somalia', 'Portland']	[]	[]	[]
A Muslim brother an Somali refugee lost. Please click here to support Donate to help the family of the deceased father organized by Musse  Olol https://t.co/bLpbCkMCfd #GoFundMe	{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	2022-03-31T00:57:37.000Z		[]	[]	['Olol']	['Cabudwaaq']	['Galgaduud']
